48,"docs: preparar evidências da entrega","CLOSED","2026-05-09T21:23:53Z","2026-05-19T19:17:02Z"
47,"docs: analisar resultados das métricas","CLOSED","2026-05-09T21:23:50Z","2026-05-19T19:17:00Z"
46,"docs: registrar métricas coletadas","CLOSED","2026-05-09T21:23:48Z","2026-05-19T19:16:58Z"
45,"docs: documentar estrutura do projeto e tecnologias","CLOSED","2026-05-09T21:23:45Z","2026-05-19T19:16:55Z"
44,"docs: documentar execução do projeto com Docker","CLOSED","2026-05-09T21:23:42Z","2026-05-19T19:16:53Z"
43,"test: realizar teste geral do sistema","CLOSED","2026-05-09T21:23:40Z","2026-05-19T19:16:50Z"
42,"refactor: revisar organização do código","CLOSED","2026-05-09T21:23:37Z","2026-05-19T19:16:48Z"
41,"style: ajustar responsividade das telas","CLOSED","2026-05-09T21:23:34Z","2026-05-19T19:16:46Z"
40,"feat: implementar feedback visual de ações","CLOSED","2026-05-09T21:23:31Z","2026-05-19T19:16:44Z"
39,"fix: corrigir inconsistências de integração","CLOSED","2026-05-09T21:23:28Z","2026-05-19T19:16:41Z"
38,"test: validar indicadores e relatório","CLOSED","2026-05-09T21:23:25Z","2026-05-19T19:16:39Z"
37,"feat: implementar gráficos simples do dashboard","CLOSED","2026-05-09T21:23:22Z","2026-05-19T19:16:37Z"
36,"feat: atualizar dashboard com dados reais","CLOSED","2026-05-09T21:23:19Z","2026-05-19T19:16:34Z"
35,"feat: implementar relatório de inspeção em tela","CLOSED","2026-05-09T21:23:17Z","2026-05-19T19:16:32Z"
34,"test: testar fluxo completo de inspeção","CLOSED","2026-05-09T21:23:14Z","2026-05-19T19:16:30Z"
33,"feat: implementar finalização de checklist","CLOSED","2026-05-09T21:23:11Z","2026-05-19T19:16:28Z"
32,"feat: implementar cálculo automático de conformidade","CLOSED","2026-05-09T21:23:09Z","2026-05-19T19:16:26Z"
31,"feat: implementar resposta dos itens da inspeção","CLOSED","2026-05-09T21:23:05Z","2026-05-19T19:16:23Z"
30,"feat: implementar criação de inspeção","CLOSED","2026-05-09T21:23:03Z","2026-05-19T19:16:20Z"
29,"test: testar fluxo completo de checklists","CLOSED","2026-05-09T21:23:00Z","2026-05-19T19:16:18Z"
28,"feat: implementar vínculo de checklist com obra","CLOSED","2026-05-09T21:22:57Z","2026-05-19T19:16:15Z"
27,"feat: implementar itens do modelo de checklist","CLOSED","2026-05-09T21:22:54Z","2026-05-19T19:16:12Z"
26,"feat: implementar CRUD de modelos de checklist","CLOSED","2026-05-09T21:22:51Z","2026-05-19T19:16:10Z"
25,"test: testar fluxo completo de obras","CLOSED","2026-05-09T21:22:48Z","2026-05-19T19:16:08Z"
24,"feat: implementar detalhes da obra","CLOSED","2026-05-09T21:22:45Z","2026-05-19T19:16:06Z"
23,"feat: integrar cadastro e listagem de obras no frontend","CLOSED","2026-05-09T21:22:42Z","2026-05-19T19:16:03Z"
22,"feat: implementar CRUD de obras no backend","CLOSED","2026-05-09T21:22:40Z","2026-05-19T19:15:59Z"
21,"feat: implementar recuperação de senha simulada","CLOSED","2026-05-09T21:22:37Z","2026-05-19T19:15:56Z"
20,"feat: implementar logout","CLOSED","2026-05-09T21:22:34Z","2026-05-19T19:15:54Z"
19,"feat: implementar login com sessão simples","CLOSED","2026-05-09T21:22:31Z","2026-05-19T19:15:51Z"
18,"feat: implementar cadastro de usuário","CLOSED","2026-05-09T21:22:28Z","2026-05-19T19:15:49Z"
17,"test: validar conexão e migrations no MySQL","CLOSED","2026-05-09T21:22:25Z","2026-05-19T19:15:47Z"
16,"feat: configurar relacionamentos entre models","CLOSED","2026-05-09T21:22:22Z","2026-05-19T19:15:45Z"
15,"feat: criar models e migrations principais","CLOSED","2026-05-09T21:22:19Z","2026-05-19T19:15:43Z"
14,"feat: configurar Sequelize no backend","CLOSED","2026-05-09T21:22:16Z","2026-05-19T19:15:41Z"
13,"feat: implementar tela estática de relatório de inspeção","CLOSED","2026-05-09T21:22:13Z","2026-05-19T19:15:39Z"
12,"feat: implementar tela estática de execução de checklist","CLOSED","2026-05-09T21:22:09Z","2026-05-19T19:15:36Z"
11,"feat: implementar telas estáticas de obras e checklists","CLOSED","2026-05-09T21:22:07Z","2026-05-19T19:15:34Z"
10,"feat: implementar dashboard estático","CLOSED","2026-05-09T21:22:04Z","2026-05-19T19:15:32Z"
9,"feat: implementar telas estáticas de autenticação","CLOSED","2026-05-09T21:22:01Z","2026-05-19T19:15:29Z"
8,"feat: criar componentes visuais reutilizáveis","CLOSED","2026-05-09T21:21:58Z","2026-05-19T19:15:26Z"
7,"feat: configurar rotas do frontend com Vue Router","CLOSED","2026-05-09T21:21:55Z","2026-05-19T18:10:02Z"
6,"feat: implementar layout principal com sidebar e navbar","CLOSED","2026-05-09T21:21:52Z","2026-05-19T19:15:24Z"
5,"docs: preparar planilha de coleta de métricas","CLOSED","2026-05-09T21:21:50Z","2026-05-19T04:32:14Z"
4,"docs: definir critérios de pronto das issues","CLOSED","2026-05-09T21:21:47Z","2026-05-19T04:32:08Z"
3,"docs: organizar referências visuais das telas","CLOSED","2026-05-09T21:21:45Z","2026-05-19T04:32:07Z"
2,"docs: organizar referências visuais das telas","CLOSED","2026-05-09T21:18:37Z","2026-05-19T04:32:05Z"
1,"docs: registrar escopo mínimo do sistema","CLOSED","2026-05-09T21:18:32Z","2026-05-19T04:26:00Z"
